"","So_thu_tu","Ten_phim","Mo_ta","Thoi_gian","The_loai","Sao","Diem_so","Binh_chon","Dao_dien","Dien_vien","Tong_doanh_thu"
"1",1,"Ngu<U+1EDD>i Nh<U+1EC7>n: Xa Nhà","Following the events of Avengers: H<U+1ED3>i K<U+1EBF>t (2019), Spider-Man must step up to take on new threats in a world that has changed forever.",129,"Action",7.4,"69",426406,"Jon Watts","Tom Holland","390.5"
"2",2,"Avengers: H<U+1ED3>i K<U+1EBF>t","After the devastating events of Avengers: Cu<U+1ED9>c Chi<U+1EBF>n Vô C<U+1EF1>c (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",181,"Action",8.4,"78",989909,"Anthony Russo","Robert Downey Jr.","858.3"
"3",3,"K<U+1EBB> Ðâm Lén","A detective investigates the death of a patriarch of an eccentric, combative family.",130,"Comedy",7.9,"82",563509,"Rian Johnson","Daniel Craig","165.3"
"4",4,"Klaus - Câu Chuy<U+1EC7>n Giáng Sinh","A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.",96,"Animation",8.2,"65",135557,"Sergio Pablos","Jason Schwartzman","108.1"
"5",5,"Nh<U+1EEF>ng Ngu<U+1EDD>i Ph<U+1EE5> N<U+1EEF> Bé Nh<U+1ECF>","Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.",135,"Drama",7.8,"91",179434,"Greta Gerwig","Saoirse Ronan","142.5"
"6",6,"Giáng Sinh Nam <U+1EA4>y","Kate is a young woman subscribed to bad decisions. Working as an elf in a year round Christmas store is not good for the wannabe singer. However, she meets Tom there. Her life takes a new turn. For Kate, it seems too good to be true.",103,"Comedy",6.5,"50",73408,"Paul Feig","Madison Ingoldsby","335.4"
"7",7,"Chuy<U+1EC7>n Ngày Xua <U+1EDE>... Hollywood","A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.",161,"Comedy",7.6,"83",661011,"Quentin Tarantino","Leonardo DiCaprio","53.37"
"8",8,"Joker","In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",122,"Crime",8.4,"59",1123268,"Todd Phillips","Joaquin Phoenix","27.33"
"9",9,"Ký Sinh Trùng","Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.",132,"Comedy",8.6,"96",702565,"Bong Joon Ho","Kang-ho Song","159.2"
"10",10,"L<U+1EC5> H<U+1ED9>i Ð<U+1EAB>m Máu","A couple travels to Northern Europe to visit a rural hometown's fabled Swedish mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.",148,"Drama",7.1,"72",270313,"Ari Aster","Florence Pugh","426.8"
"11",11,"Qu<U+1ED1>c Vuong","Hal, wayward prince and heir to the English throne, is crowned King Henry V after his tyrannical father dies. Now the young king must navigate palace politics, the war his father left behind, and the emotional strings of his past life.",140,"Biography",7.3,"62",113442,"David Michôd","Tom Glynn-Carney","515.2"
"12",12,"Th<U+1EBF> Chi<U+1EBF>n 1917","April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",119,"Action",8.3,"78",521364,"Sam Mendes","Dean-Charles Chapman","0.43"
"13",13,"Ð<U+1EA1>i Úy Marvel","Carol Danvers becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.",123,"Action",6.8,"64",511476,"Anna Boden","Brie Larson","96.85"
